source,name,address,rating,reviews,info
2GIS,Магазин Идеального Ремонта,,5,1970 баға,"Гипермаркет строительных материалов Тұран даңғылы, 53в, Астана Құрылыс материалдары · Жеткізу"
2GIS,Строй Двор,,4.7,451 баға,"Құрылыс дүкені Әлихан Бөкейхан көшесі, 20/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,NovaStroy,"Ұлы Дала даңғылы, 80/1, Астана",4.8,938 баға,Құрылыс материалдары дүкені ​​3 филиал Құрылыс материалдары Құрылыс пен жөндеуге арналған 10 000-нан астам өнім бәсекеге қабілетті Жарнама Instagram-н...
2GIS,ТИЫН,,4.7,466 баға,"Құрылыс материалдары дүкені Шара Жиенқұлова көшесі, 12/1, Астана Құрылыс материалдары · Жеткізу Барлығы құрылыс пен жөндеуге арналған! Жарнама Тапсыры..."
2GIS,Строй с нами,"Түркістан көшесі, 10, Астана",4.9,296 баға,Құрылыс материалдары дүкені ​​4 филиал Құрылыс материалдары · Жеткізу
2GIS,Кровельный центр,,4.9,549 баға,"Сауда-өндірістік компания Жаңа жол көшесі, 17д, Астана Құрылыс материалдары"
2GIS,Авангард Снаб,"ЖК Олимп палас, Түркістан көшесі, 8, Астана",5,87 баға,Арнайы киім және құрылыс материалдары дүкені ​​4 филиал Құрылыс материалдары Жарқын қуанышты Құрбан айт мерекесі құтты болсын 27 мамыр демалы күні ​Жа...
2GIS,Tulpar,,4.8,248 баға,"Строймаркет Бұқар жырау көшесі, 32, Астана Құрылыс материалдары Көп заттар бар, бағалары қол жетімді Жарнама Қоңырау шалу"
2GIS,Mallotok,,4.8,442 баға,"Магазин инструментов Мухаммед Али Джинна көшесі, 9/2, Астана Құрылыс материалдары · Жеткізу 5% бонус. Жеңілдіктер мен акциялар. Kaspi бөліп төлеу. Жыл..."
2GIS,Asar,,5,7 баға,"Строительный магазин Е-899 көшесі, 3, Астана Құрылыс материалдары Қолжетімді жөндеу тауарлары - тіркеліп, әр сатып алудан5% бонус алыңыз Жарнама Қоңыр..."
2GIS,Stroy Market,"Тұран даңғылы, 55/11, Астана",4.7,144 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары
2GIS,masterstroi.kz,"Санжар Асфендияров көшесі, 6, Астана",4.7,492 баға,"Құрылыс материалдары ​​4 филиал Құрылыс материалдары Жөндеуге бәрі жақын — адал баға, жылдармен тексерілген сапа Жарнама Қоңырау шалу"
2GIS,Usta,"Әлихан Бөкейхан көшесі, 16/1, Астана",4.8,137 баға,Строительный магазин ​​4 филиал Құрылыс материалдары
2GIS,Art Group. kz,,4.9,175 баға,"Құрылыс дүкені Мәңгілік Ел даңғылы, 19/2, Астана Құрылыс материалдары · Жеткізу"
2GIS,MAXСтрой,"Сығанақ көшесі, 16/1, Астана",4.8,213 баға,Құрылыс материалдары ​​3 филиал Құрылыс материалдары · Жеткізу Жарнама WhatsApp-қа жазу
2GIS,СтройМаг,"Төле би көшесі, 48, Астана",4.8,320 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,BTS,,5,41 баға,"Строительный магазин Темірбек Жүргенов көшесі, 19, Астана Құрылыс материалдары BTS-бұл жай ғана дүкен емес, бұл жөндеуге қолдау Жарнама Маршрут салу"
2GIS,78_stroimag,"Е-67 көше, 6п, Астана",4.8,263 баға,Құрылыс дүкені ​​4 филиал Құрылыс материалдары · Жеткізу
2GIS,MS METIZ ASTANA,Жарнама,4.6,59 баға,"Құрылыс материалдары Көшесі Анар, 1/1, Астана Құрылыс материалдары · Жеткізу Для оптовых покупателей скидка 50% ​​ЖШС MS METIZ ASTANA Написать в Whats..."
2GIS,МастерОк,,5,39 баға,"Строительный магазин Қажымұқан көшесі, 126, Қосшы, Косши городская администрация, Ақмола Құрылыс материалдары Төмен баға! Құрылысқа бәрі бар. Материал..."
2GIS,ЭСА,,4.9,197 баға,"Құрылыс материалдары дүкені Арғанаты көшесі, 18/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Сапа Строй Маркет,,4.6,29 баға,"Строительный магазин Мәңгілік Ел даңғылы, 66/1, Астана Құрылыс материалдары Барлығы Құрылыс және жөндеу үшін! Материалдардың кең ассортименті Жарнама ..."
2GIS,ALLSTROY,"Жанкент көшесі, 96, Астана",4.7,706 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары · Жеткізу Құрылыс материалдары мен тұрмыстық тауарлар. Тегін жеткізу! Жарнама WhatsApp-қа жазу
2GIS,BuildMart,,4.9,94 баға,"Құрылыс материалдары Төле би көшесі, 14, Астана Құрылыс материалдары · Жеткізу"
2GIS,Q-Stroy,"Шәмші Қалдаяқов көшесі, 12, Астана",5,33 баға,Магазин строительных материалов ​​2 филиал Құрылыс материалдары · Жеткізу ПРОРАБ ПЕН ЖИНАҚТАУШЫЛАРҒА ТӨМЕН БАҒАЛАР. ОПТОМ БАҒАЛАР! Жарнама Қоңырау шал...
2GIS,Nur-Stroy,"Тәуелсіздік даңғылы, 38/8а, Астана",4.9,166 баға,Строительный магазин ​​3 филиал Құрылыс материалдары · Жеткізу Құрғақ қоспаларға төмен бағалар Жарнама Тапсырыс беру
2GIS,Mega Stroy,Жарнама,5,141 баға,"Құрылыс материалдары Айнакөл көшесі, 62/1, Астана Құрылыс материалдары · Жеткізу КЕҢ ТАҢДАУ/Kaspi бөліп төлеу/жеткізу/ҚҚС және келісім-шарт бойынша ​​..."
2GIS,Мастер,,4.5,157 баға,"Құрылыс материалдары Сарайшық көшесі, 5/1, Астана Құрылыс материалдары Үйіңізге жақын құрылыс материалдары Жарнама Позвонить"
2GIS,Jadi Stroy,"Северное сияние ТҮК, Достық көшесі, 5, Астана",4.5,66 баға,Құрылыс материалдары ​​4 филиал Құрылыс материалдары · Жеткізу Сүйікті құрылыс дүкендерінің желісі Жарнама Instagram
2GIS,Мейірбек,"Әл-Фараби даңғылы, 5, Астана",4.7,206 баға,Құрылыс материалдары ​​3 филиал Құрылыс материалдары · Жеткізу Барлық құрылыс материалдары көтерме бағамен! Жарнама Бағаны біліңіз
2GIS,StroyQurylys,,4.7,85 баға,"Строительно-торговый дом Мәскеу көшесі, 9а, Астана Құрылыс материалдары БАРЛЫҒЫ ОСЫНДА: ТИЕУ 15 МИНУТ. ЖЕТКІЗУ 24/7. ҚАЗІР ТАПСЫРЫС БЕР! Жарнама ХАБАР..."
2GIS,StroyMarket S,,5,65 баға,"Құрылыс материалдары Қайым Мұхамедханов көшесі, 6, Астана Құрылыс материалдары"
2GIS,Шебер,,5,36 баға,"Магазин стройматериалов и аренда строителных инструментов Е 509 көшесі, 9, Астана Құрылыс материалдары Құрылыс заттарының барлық түрлері! Жарнама What..."
2GIS,Уют,"Кенен Әзірбаев көшесі, 6/5, Астана",4.7,526 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары
2GIS,Шаңырақ,"Достық көшесі, 8/4, Астана",,,Строительный магазин ​​3 филиал Құрылыс материалдары Ашылуы жақында Құрылыс заттарының барлық түрлері! Жарнама Қоңырау шалу
2GIS,Big stroi,"Тәуелсіздік даңғылы, 58, Астана",4.8,57 баға,"Строительный супермаркет ​​2 филиал Құрылыс материалдары Құрылыс материалдарының кең таңдауы, ТЕГІН жеткізу!⚒️ Жарнама WhatsApp-қа жазу"
2GIS,Boyau House Astana,"Әлихан Бөкейхан көшесі, 29, Астана",4.9,118 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу
